repo_name,act_type,isbot,date_month,activity
abrahamgreyson/laravel-mns,CODE,0,2016-03,20
abrahamgreyson/laravel-mns,CODE,0,2016-04,28
abrahamgreyson/laravel-mns,CODE,0,2016-05,12
abrahamgreyson/laravel-mns,CODE,0,2016-06,1
abrahamgreyson/laravel-mns,NON_CODE,0,2016-06,8
abrahamgreyson/laravel-mns,NON_CODE,0,2016-08,4
abrahamgreyson/laravel-mns,NON_CODE,0,2016-09,1
abrahamgreyson/laravel-mns,CODE,0,2017-03,1
abrahamgreyson/laravel-mns,NON_CODE,0,2017-03,1
abrahamgreyson/laravel-mns,NON_CODE,0,2019-02,2
actuallymab/laravel-comment,CODE,0,2016-06,3
actuallymab/laravel-comment,CODE,0,2016-10,18
actuallymab/laravel-comment,NON_CODE,0,2016-10,2
actuallymab/laravel-comment,CODE,0,2017-01,1
actuallymab/laravel-comment,NON_CODE,0,2017-01,7
actuallymab/laravel-comment,NON_CODE,0,2017-02,4
actuallymab/laravel-comment,NON_CODE,0,2017-03,3
actuallymab/laravel-comment,CODE,0,2017-04,5
actuallymab/laravel-comment,NON_CODE,0,2017-04,4
actuallymab/laravel-comment,NON_CODE,0,2017-05,2
actuallymab/laravel-comment,NON_CODE,0,2017-06,5
actuallymab/laravel-comment,NON_CODE,0,2017-07,3
actuallymab/laravel-comment,CODE,0,2017-08,2
actuallymab/laravel-comment,NON_CODE,0,2017-08,3
actuallymab/laravel-comment,CODE,0,2017-09,4
actuallymab/laravel-comment,CODE,0,2017-10,1
actuallymab/laravel-comment,NON_CODE,0,2017-10,3
actuallymab/laravel-comment,NON_CODE,0,2017-11,1
actuallymab/laravel-comment,CODE,0,2018-01,2
actuallymab/laravel-comment,NON_CODE,0,2018-01,1
actuallymab/laravel-comment,NON_CODE,0,2018-02,2
actuallymab/laravel-comment,CODE,0,2018-03,4
actuallymab/laravel-comment,NON_CODE,0,2018-03,3
actuallymab/laravel-comment,NON_CODE,0,2018-04,1
actuallymab/laravel-comment,NON_CODE,0,2018-05,8
actuallymab/laravel-comment,CODE,0,2018-08,2
actuallymab/laravel-comment,NON_CODE,0,2018-08,3
actuallymab/laravel-comment,CODE,0,2018-09,10
actuallymab/laravel-comment,NON_CODE,0,2018-09,2
actuallymab/laravel-comment,CODE,0,2018-11,16
actuallymab/laravel-comment,NON_CODE,0,2018-11,4
actuallymab/laravel-comment,NON_CODE,0,2018-12,1
actuallymab/laravel-comment,CODE,0,2019-01,3
actuallymab/laravel-comment,NON_CODE,0,2019-01,3
actuallymab/laravel-comment,CODE,0,2019-03,3
actuallymab/laravel-comment,NON_CODE,0,2019-05,1
actuallymab/laravel-comment,CODE,0,2019-08,3
actuallymab/laravel-comment,CODE,0,2019-09,3
actuallymab/laravel-comment,NON_CODE,0,2019-09,2
actuallymab/laravel-comment,CODE,0,2019-10,3
actuallymab/laravel-comment,CODE,0,2019-12,1
actuallymab/laravel-comment,CODE,0,2020-02,1
actuallymab/laravel-comment,CODE,0,2020-03,3
actuallymab/laravel-comment,NON_CODE,0,2020-03,1
actuallymab/laravel-comment,NON_CODE,0,2020-04,1
actuallymab/laravel-comment,NON_CODE,0,2020-05,1
actuallymab/laravel-comment,NON_CODE,0,2020-06,1
actuallymab/laravel-comment,NON_CODE,0,2020-07,2
actuallymab/laravel-comment,NON_CODE,0,2020-08,3
actuallymab/laravel-comment,CODE,0,2020-09,3
actuallymab/laravel-comment,NON_CODE,0,2020-09,1
actuallymab/laravel-comment,NON_CODE,0,2020-10,1
actuallymab/laravel-comment,NON_CODE,0,2020-11,1
actuallymab/laravel-comment,CODE,0,2020-12,1
actuallymab/laravel-comment,NON_CODE,0,2020-12,2
actuallymab/laravel-comment,NON_CODE,0,2021-01,2
actuallymab/laravel-comment,NON_CODE,0,2021-03,2
actuallymab/laravel-comment,NON_CODE,0,2021-04,1
actuallymab/laravel-comment,CODE,0,2021-05,2
actuallymab/laravel-comment,NON_CODE,0,2021-05,3
actuallymab/laravel-comment,CODE,0,2021-06,1
actuallymab/laravel-comment,NON_CODE,0,2021-06,4
akalongman/laravel-multilang,CODE,0,2016-04,42
akalongman/laravel-multilang,CODE,0,2016-05,5
akalongman/laravel-multilang,CODE,0,2016-06,1
akalongman/laravel-multilang,CODE,0,2016-07,7
akalongman/laravel-multilang,CODE,0,2016-08,13
akalongman/laravel-multilang,NON_CODE,0,2016-08,1
akalongman/laravel-multilang,CODE,0,2016-09,6
akalongman/laravel-multilang,NON_CODE,0,2016-09,3
akalongman/laravel-multilang,CODE,0,2016-10,12
akalongman/laravel-multilang,NON_CODE,0,2016-10,3
akalongman/laravel-multilang,NON_CODE,0,2016-12,2
akalongman/laravel-multilang,CODE,0,2017-04,10
akalongman/laravel-multilang,CODE,0,2017-06,18
akalongman/laravel-multilang,CODE,0,2017-07,3
akalongman/laravel-multilang,CODE,0,2017-09,13
akalongman/laravel-multilang,NON_CODE,0,2017-09,6
akalongman/laravel-multilang,CODE,0,2017-10,2
akalongman/laravel-multilang,NON_CODE,0,2017-10,1
akalongman/laravel-multilang,CODE,0,2017-11,5
akalongman/laravel-multilang,CODE,0,2017-12,10
akalongman/laravel-multilang,CODE,0,2018-01,9
akalongman/laravel-multilang,CODE,0,2018-02,1
akalongman/laravel-multilang,NON_CODE,0,2018-02,3
akalongman/laravel-multilang,NON_CODE,0,2018-08,6
akalongman/laravel-multilang,NON_CODE,0,2018-09,6
akalongman/laravel-multilang,CODE,0,2018-10,2
akalongman/laravel-multilang,NON_CODE,0,2018-10,1
akalongman/laravel-multilang,NON_CODE,0,2018-12,1
akalongman/laravel-multilang,CODE,0,2019-02,4
akalongman/laravel-multilang,CODE,0,2019-03,1
akalongman/laravel-multilang,CODE,0,2019-04,1
akalongman/laravel-multilang,NON_CODE,0,2019-05,1
akalongman/laravel-multilang,CODE,0,2019-10,4
akalongman/laravel-multilang,CODE,0,2019-12,4
akalongman/laravel-multilang,CODE,0,2020-03,4
akalongman/laravel-multilang,CODE,1,2020-03,2
akalongman/laravel-multilang,CODE,0,2020-05,2
akalongman/laravel-multilang,CODE,0,2020-09,1
akalongman/laravel-multilang,CODE,1,2020-09,2
akalongman/laravel-multilang,CODE,0,2020-10,1
akalongman/laravel-multilang,NON_CODE,0,2020-10,1
akalongman/laravel-multilang,CODE,0,2021-01,2
akalongman/laravel-multilang,CODE,1,2021-01,1
akalongman/laravel-multilang,NON_CODE,1,2021-01,1
akalongman/laravel-multilang,CODE,0,2021-02,1
akalongman/laravel-multilang,CODE,1,2021-02,2
akalongman/laravel-multilang,CODE,0,2021-04,1
akalongman/laravel-multilang,CODE,1,2021-06,1
akalongman/laravel-multilang,NON_CODE,0,2021-09,1
akhileshdarjee/origin-cms,CODE,1,2019-11,1
akhileshdarjee/origin-cms,CODE,1,2019-12,1
akhileshdarjee/origin-cms,CODE,0,2021-03,5
akhileshdarjee/origin-cms,CODE,1,2021-03,1
akhileshdarjee/origin-cms,NON_CODE,1,2021-03,3
akhileshdarjee/origin-cms,CODE,0,2021-04,23
akhileshdarjee/origin-cms,CODE,0,2021-05,2
akhileshdarjee/origin-cms,CODE,1,2021-06,1
akhileshdarjee/origin-cms,CODE,0,2021-08,3
akhileshdarjee/origin-cms,NON_CODE,1,2021-08,1
akhileshdarjee/origin-cms,CODE,0,2021-09,1
akhileshdarjee/origin-cms,CODE,1,2021-09,2
akmuhammet/activitylog,CODE,0,2016-03,18
alexsoft/laravel-socialite-bitbucket,CODE,0,2016-09,9
alexsoft/laravel-socialite-bitbucket,CODE,0,2016-12,3
alexsoft/laravel-socialite-bitbucket,CODE,0,2017-02,3
alexsoft/laravel-socialite-bitbucket,CODE,0,2017-04,3
alexsoft/laravel-socialite-bitbucket,CODE,0,2017-06,3
alexsoft/laravel-socialite-bitbucket,CODE,0,2018-02,2
appoets/default-installer,CODE,0,2016-11,10
appoets/default-installer,CODE,0,2017-05,1
appoets/default-installer,CODE,0,2017-07,2
appoets/default-installer,CODE,0,2017-10,3
