"","repo_name","path"
"1","75lb/fs-then-native","Alive_1-Dead_4-Alive_1-Dead_4-Alive_1-Dead"
"2","aaron9000/csvutil","Alive_1-Dead_2-Alive_1-Dead_6-Alive_1-Dead"
"3","ahtohbi4/matrix-slicer","Alive_4-Dead_2-Alive_5-Dead_4-Alive_5-Dead_2-Alive_5-Dead_4-Alive_6-Dead_2-Alive_6-Dead_2-Alive_6-Dead_17-Alive_6-Dead_7-Zombie_6-Dead"
"4","alexgustafsson/homebridge-wol","Alive_1-Dead_3-Alive_2-Dead_4-Zombie_2-Alive_1-Dead_2-Alive_1-Zombie_1-Alive_3-Dead_2-Alive_3-Zombie_2-Alive_1-Zombie_2-Alive_1-Zombie_1-Alive_3-Zombie_1-Alive_2-Zombie_1-Alive_1-Dead_2-Zombie_2-Alive_3-Zombie_1-Alive_2-Zombie_2-Alive_5-Zombie_1-Alive_10-Zombie_1-Alive_1-Zombie_3-Alive_2-Zombie_2-Alive_1"
"5","alissonmbr/dirtree2json","Alive_1-Dead_5-Alive_1-Dead_4-Alive_1-Dead_21-Alive_2-Dead"
"6","aludirk/node-perl-regex","Alive_2-Dead_13-Alive_3-Dead"
"7","amandeepmittal/robotize","Alive_1-Dead_10-Zombie_1-Dead_10-Alive_1-Dead_15-Alive_1-Dead_8-Zombie_1-Alive_1-Dead"
"8","amitnavindgi/npm-amitnavindgi","Alive_1-Dead_2-Alive_1-Dead"
"9","ampjs/amp-collection","Alive_1-Dead_3-Alive_1-Dead_4-Alive_4-Zombie_1-Alive_1-Dead"
"10","andr3whur5t/deploy-static-site","Alive_1-Dead"
"11","andwoo/jsonmake","Alive_1-Dead"
"12","angrykoala/chuckscript","Alive_1-Zombie_2-Alive_1-Dead_3-Alive_1-Dead_4-Zombie_2-Dead_2-Zombie_2-Dead_10-Zombie_2-Dead"
"13","ankeetmaini/react-infinite-scroll-component","Alive_4-Dead_3-Alive_4-Zombie_1-Alive_1-Dead_3-Alive_2-Zombie_1-Alive_2-Zombie_3-Dead_2-Alive_10-Zombie_1-Alive_1-Zombie_1-Alive_1-Zombie_2-Alive_3-Zombie_1-Alive_7-Zombie_1-Alive_1-Zombie_1-Alive_1-Zombie_1-Alive_3-Zombie_1-Alive_1-Zombie_1-Alive_11-Zombie_1"
"14","apache/incubator-flagon-useralejs","Alive_5-Dead_3-Alive_5-Dead_4-Alive_10-Dead_3-Alive_12-Dead_2-Alive_12-Dead_2-Alive_12-Dead_7-Alive_13-Dead_2-Alive_24-Dead_3-Zombie_25-Dead_2-Zombie_25-Alive_1-Dead_3-Zombie_1-Alive_5-Zombie_1-Alive_1-Zombie_1-Alive_1"
"15","appvision-gmbh/json2typescript","Alive_4-Zombie_2-Alive_1-Zombie_1-Alive_5-Zombie_5-Alive_1-Zombie_3-Alive_2-Zombie_1-Alive_1-Zombie_1-Alive_6-Zombie_2-Alive_3-Zombie_2-Alive_7-Zombie_2-Alive_1-Dead_2-Alive_1-Zombie_2-Alive_1-Zombie_1-Alive_2-Dead_2-Zombie_2"
"16","arnellebalane/devcomic","Alive_1-Dead_33-Alive_1-Dead"
