"repo_name","repoType","sizeUsers","status","months"
"abrahamgreyson/laravel-mns","User",2,"Dead",35
"actuallymab/laravel-comment","User",3,"Alive",60
"akalongman/laravel-multilang","User",3,"Alive",64
"akhileshdarjee/origin-cms","User",1,"Alive",22
"akmuhammet/activitylog","User",1,"Dead",0
"alexsoft/laravel-socialite-bitbucket","User",1,"Dead",17
"appoets/default-installer","Organization",1,"Dead",10
"appstract/laravel-tracer","Organization",2,"Dead",16
"arandilopez/laravel-profane","User",3,"Alive",62
"artkonekt/appshell","Organization",2,"Alive",59
"atomescrochus/laravel-gracenote","Organization",2,"Dead",33
"cevv13/form-ajax-submit","User",1,"Dead",6
"clivern/file_uploader","User",1,"Dead",41
"codedge/laravel-fpdf","User",3,"Alive",64
"codedge/laravel-selfupdater","User",3,"Alive",62
"codedge/laravel-sofortlib","User",2,"Alive",64
"core-system/bootstrap-form","Organization",2,"Dead",32
"crestapps/laravel-code-generator","User",3,"Alive",57
"cupoftea696/counter","User",1,"Dead",7
"cupoftea696/prioritizeroutes","User",1,"Dead",0
"cyber-duck/laravel-alternative-mailer","Organization",1,"Dead",0
"czim/laravel-listify","User",1,"Dead",43
"deathkel/apitest","User",1,"Dead",24
"devemio/elasticsearch-eloquent","User",2,"Alive",61
"dmitry-ivanov/laravel-console-logger","User",2,"Alive",64
"dmitry-ivanov/laravel-console-mutex","User",3,"Alive",60
"dmitry-ivanov/laravel-db-profiler","User",2,"Alive",54
"dmitry-ivanov/laravel-helper-functions","User",2,"Alive",56
"dmitry-ivanov/laravel-testing-tools","User",2,"Alive",51
"eliurkis/crud","User",1,"Dead",27
"ericmakesstuff/laravel-server-monitor","Organization",2,"Dead",41
"exolnet/laravel-instruments","Organization",1,"Alive",66
"fobiaphp/laravel-sphinx","Organization",2,"Alive",57
"forestadmin/forest-laravel","Organization",3,"Alive",60
"froiden/laravel-rest-api","Organization",3,"Alive",60
"geekcom/validator-docs","User",3,"Alive",61
"geekghc/ispace","User",1,"Dead",13
"geniusts/preferences","Organization",2,"Alive",59
"gitscrum-ce/laravel-gitscrum","Organization",3,"Alive",59
"hazestudio/laravel-gopay-sdk","Organization",2,"Dead",51
"heshanh/gofax","User",1,"Dead",15
"invertedx/routetraffic-laravel-route-lising","User",1,"Dead",2
"irazasyed/jwt-auth-guard","User",3,"Zombie",69
"jorisvanw/medialibrary","User",2,"Alive",69
"josh-taylor/migrations-generator","User",1,"Dead",5
