"repo_name","repoType","sizeUsers","status","months"
"75lb/fs-then-native","User",2,"Dead",8
"aaron9000/csvutil","User",1,"Dead",8
"ahtohbi4/matrix-slicer","User",2,"Dead",44
"alexgustafsson/homebridge-wol","User",3,"Alive",69
"alissonmbr/dirtree2json","User",1,"Dead",31
"aludirk/node-perl-regex","User",2,"Dead",14
"amandeepmittal/robotize","User",2,"Dead",44
"amitnavindgi/npm-amitnavindgi","User",1,"Dead",2
"ampjs/amp-collection","Organization",1,"Dead",12
"andr3whur5t/deploy-static-site","User",1,"Dead",0
"andwoo/jsonmake","User",1,"Dead",1
"angrykoala/chuckscript","User",2,"Dead",22
"ankeetmaini/react-infinite-scroll-component","User",3,"Alive",67
"apache/incubator-flagon-useralejs","Organization",3,"Alive",64
"appvision-gmbh/json2typescript","Organization",3,"Alive",59
"arnellebalane/devcomic","User",1,"Dead",33
"arnellebalane/wifi-cli","User",2,"Dead",20
"aurbano/resource-path","User",1,"Dead",2
"av/dtg","User",1,"Dead",0
"badavis/strict-password-generator","User",3,"Alive",57
"barchart/alerts-client-js","Organization",3,"Alive",68
"barchart/common-node-js","Organization",3,"Alive",69
"bdadam/rollup-plugin-html","User",3,"Dead",51
"beeblebrox3/super-trim","User",2,"Alive",58
"bertolo1988/progress-barzz","User",2,"Alive",55
"bjaanes/gulp-clean-compiled-typescript","User",2,"Dead",7
"bkrem/make-toc.sh","User",1,"Dead",4
"blackglory/parse-favicon","User",2,"Alive",58
"blizarazu/csv-tools","User",2,"Alive",59
"breeswish/pinyinlite","User",3,"Dead",37
"canonical-web-and-design/global-nav","Organization",3,"Alive",62
"ccisel/connect-controller","Organization",1,"Dead",6
"centagon/primer","Organization",2,"Dead",12
"cezaraugusto/nodejs-opensourceapi","User",1,"Dead",0
"chenjiah/jm-copy-base64","User",1,"Dead",0
"chenjiah/jm-mkdirs","User",1,"Dead",0
"codebling/csrf-simple-origin","User",2,"Alive",53
"corasan/leagueoflegends-node-api","User",2,"Dead",16
"cpapazaf/karma-prettybrowser-reporter","User",2,"Dead",32
"csabapalfi/freeagent","User",2,"Dead",42
"csabapalfi/github-markdown-html","User",2,"Dead",42
"csabapalfi/hapi-good-datadog","User",2,"Dead",17
"csabapalfi/html-webpack-uncss-plugin","User",2,"Dead",20
"cyrilwanner/npm-autoinstaller","User",2,"Dead",36
"danischenk/moment-feiertage","User",3,"Alive",60
