"repo_name","repoType","sizeUsers","status","months"
"achubaty/grainscape","User",2,"Zombie",65
"adamspannbauer/lexrankr","User",2,"Dead",37
"aertslab/rcistarget","Organization",3,"Alive",60
"anthonyebert/queuecomputer","User",2,"Alive",56
"bearloga/bcda","User",1,"Dead",58
"bearloga/cablecuttr","User",2,"Dead",40
"boettiger-lab/sarsop","Organization",2,"Alive",65
"bohdan-khomtchouk/gtf","User",1,"Dead",15
"calbertsen/covafillr","User",1,"Dead",45
"california-data-collaborative/rateparser","Organization",1,"Dead",19
"cjyetman/memberstates","User",2,"Dead",38
"cloudyr/aws.dynamodb","Organization",2,"Dead",37
"cloudyr/awspack","Organization",1,"Dead",48
"cloudyr/ghit","Organization",2,"Dead",28
"cmap-repos/cmap_freight_model","Organization",1,"Zombie",59
"confoobio/gmse","Organization",2,"Alive",57
"contefranz/msmtools","User",1,"Alive",60
"coorsaa/shinymlr","User",2,"Dead",51
"csbl-usp/cemitool","User",3,"Alive",58
"daattali/colourpicker","User",3,"Alive",62
"daattali/shinyalert","User",3,"Alive",60
"daattali/timevis","User",3,"Alive",62
"diegovalle/mxmaps","User",1,"Alive",68
"drizzersilverberg/graddescentr","User",2,"Dead",36
"eddelbuettel/gaussfacts","User",1,"Alive",61
"eddelbuettel/gettz","User",1,"Alive",57
"eddelbuettel/nanotime","User",3,"Alive",58
"eddelbuettel/rcppmsgpack","User",1,"Alive",68
"eddelbuettel/tint","User",3,"Alive",60
"edonnachie/icd10gm","User",2,"Alive",69
"erictleung/flowers","User",1,"Alive",0
"faustogc/streamchaos","User",1,"Dead",14
"fcampelo/moeadr","User",1,"Alive",58
"ferreira-santos/metaforgui","User",1,"Dead",4
"fsolt/icpsrdata","User",2,"Dead",50
"fsolt/pewdata","User",2,"Alive",59
"fsolt/ropercenter","User",2,"Dead",51
"giscience-fsu/sperrorest","Organization",2,"Alive",57
"graemeleehickey/joinerml","User",2,"Alive",59
"gshs-ornl/wbstats","Organization",3,"Zombie",65
"henrikbengtsson/dirdf","User",2,"Zombie",61
"hmalmedal/stringaddins","User",1,"Dead",35
"hollorol/rbbgcmuso","User",2,"Alive",58
"hoxo-m/densratio","User",2,"Dead",58
"hoxo-m/magicfor","User",1,"Dead",42
"jacob-long/jtools","User",3,"Alive",58
"jaredhuling/oem","User",2,"Alive",63
"jeroen/agent","User",1,"Dead",19
"jforbes14/eechidna","User",3,"Dead",58
"jhollist/elevatr","User",3,"Alive",62
"jjchern/saipeapi","User",1,"Dead",35
"jlepird/prefer","User",1,"Dead",11
"kafku/rleveldb","User",1,"Dead",21
"krisrs1128/treelapse","User",1,"Dead",39
"ksawicka/spup","User",1,"Dead",52
"kunstler/laselva","User",2,"Alive",57
"kwb-r/kwb.default","Organization",1,"Alive",58
"kwb-r/kwb.qmra","Organization",1,"Alive",58
"kwb-r/kwb.utils","Organization",1,"Alive",57
"leeper/crandatapkgs","User",2,"Dead",25
"leeper/responserates","User",1,"Dead",22
"lockedata/hibpwned","Organization",2,"Dead",55
"lockedata/mockaroo","Organization",2,"Dead",26
