page,index,repo,owner,name,type,authors,commits,pulls,issues,comments,reviews
1,0,gitscrum-ce/laravel-gitscrum,gitscrum-ce,laravel-gitscrum,Organization,258,714,205,145,394,5
1,1,teamtnt/laravel-scout-tntsearch-driver,teamtnt,laravel-scout-tntsearch-driver,Organization,641,262,87,243,994,4
1,2,musonza/chat,musonza,chat,User,166,325,130,158,529,47
1,3,laravel-notification-channels/telegram,laravel-notification-channels,telegram,Organization,137,156,55,65,236,5
1,4,CrestApps/laravel-code-generator,crestapps,laravel-code-generator,User,110,286,32,144,432,31
1,5,ericmakesstuff/laravel-server-monitor,ericmakesstuff,laravel-server-monitor,Organization,11,27,11,7,17,0
1,6,geekcom/validator-docs,geekcom,validator-docs,User,69,204,91,32,144,11
1,7,irazasyed/jwt-auth-guard,irazasyed,jwt-auth-guard,User,84,28,9,38,113,0
1,8,summerblue/administrator,summerblue,administrator,User,29,55,10,19,20,2
1,9,WildsideUK/Laravel-Userstamps,wildsideuk,laravel-userstamps,Organization,35,63,13,27,64,0
1,10,Nexmo/nexmo-laravel,nexmo,nexmo-laravel,Organization,83,45,23,41,223,8
1,11,nikaia/translation-sheet,nikaia,translation-sheet,Organization,53,168,42,28,69,5
1,12,actuallymab/laravel-comment,actuallymab,laravel-comment,User,62,65,30,40,53,1
1,13,squareboat/sneaker,squareboat,sneaker,Organization,95,48,21,41,138,1
1,14,larapack/hooks,larapack,hooks,Organization,22,161,40,12,41,0
1,15,larapack/voyager-hooks,larapack,voyager-hooks,Organization,29,63,21,15,62,12
1,16,codedge/laravel-selfupdater,codedge,laravel-selfupdater,User,43,520,221,38,253,9
1,17,unicodeveloper/laravel-identify,unicodeveloper,laravel-identify,User,18,70,20,7,39,2
1,18,LaraBug/LaraBug,larabug,larabug,Organization,28,187,52,12,100,10
1,19,pmatseykanets/laravel-scout-postgres,pmatseykanets,laravel-scout-postgres,User,48,110,24,22,72,0
1,20,dmitry-ivanov/laravel-db-profiler,dmitry-ivanov,laravel-db-profiler,User,12,273,2,7,15,0
1,21,laravel-notification-channels/twitter,laravel-notification-channels,twitter,Organization,66,149,43,34,211,1
1,22,codedge/laravel-fpdf,codedge,laravel-fpdf,User,71,188,86,32,93,5
