page,index,repo,owner,name,type,authors,commits,pulls,issues,comments,reviews
1,0,daattali/timevis,daattali,timevis,User,99,138,17,98,407,2
1,1,ropensci/tabulizer,ropensci,tabulizer,Organization,214,141,15,124,419,2
1,2,ropensci/visdat,ropensci,visdat,Organization,55,474,34,106,300,4
1,3,ropensci/magick,ropensci,magick,Organization,275,1071,55,274,1260,0
1,4,ropensci/pdftools,ropensci,pdftools,Organization,114,272,17,78,259,0
1,5,stan-dev/bayesplot,stan-dev,bayesplot,Organization,98,1381,107,171,1099,141
1,6,rstudio/tufte,rstudio,tufte,Organization,121,165,21,78,287,13
1,7,r-hub/rhub,r-hub,rhub,Organization,384,297,52,433,1681,46
1,8,eddelbuettel/tint,eddelbuettel,tint,User,36,126,25,24,193,1
1,9,ropensci/osmdata,ropensci,osmdata,Organization,100,1275,53,192,1063,21
1,10,ropensci/charlatan,ropensci,charlatan,Organization,27,243,24,95,213,8
1,11,ropensci/tesseract,ropensci,tesseract,Organization,61,222,4,52,177,0
1,12,statsmaths/cleanNLP,statsmaths,cleannlp,User,76,137,11,70,216,0
1,13,ropensci/tokenizers,ropensci,tokenizers,Organization,34,202,22,56,300,0
1,14,daattali/shinyalert,daattali,shinyalert,User,39,84,7,53,185,8
1,15,ropensci/qualtRics,ropensci,qualtrics,Organization,151,765,53,182,923,21
1,16,daattali/colourpicker,daattali,colourpicker,User,29,122,7,39,145,23
1,17,ropensci/tic,ropensci,tic,Organization,43,2010,112,193,1132,169
1,18,privefl/bigstatsr,privefl,bigstatsr,User,57,925,21,112,379,0
1,19,jacob-long/jtools,jacob-long,jtools,User,88,971,13,96,124,0
1,20,ropensci/osmplotr,ropensci,osmplotr,Organization,19,553,14,40,104,0
1,21,mschubert/clustermq,mschubert,clustermq,User,59,883,24,231,765,21
1,22,ropensci/ghql,ropensci,ghql,Organization,25,87,10,19,90,8
1,23,jhollist/elevatr,jhollist,elevatr,User,52,268,7,55,221,0
1,24,ropensci-archive/monkeylearn,ropensci-archive,monkeylearn,Organization,6,300,47,0,52,0
1,25,ropensci/hunspell,ropensci,hunspell,Organization,45,288,13,37,189,0
1,26,ropensci/crul,ropensci,crul,Organization,35,460,26,136,336,6
1,27,gshs-ornl/wbstats,gshs-ornl,wbstats,Organization,29,154,5,30,67,0
1,28,ropensci/bib2df,ropensci,bib2df,Organization,47,172,15,35,101,0
1,29,Coorsaa/shinyMlr,coorsaa,shinymlr,User,17,373,80,67,175,1
1,30,stan-dev/projpred,stan-dev,projpred,Organization,35,1255,110,127,1008,175
1,31,ropensci/gutenbergr,ropensci,gutenbergr,Organization,42,85,7,21,75,0
1,32,ropensci/opencage,ropensci,opencage,Organization,18,502,63,77,667,169
1,33,ropensci/weathercan,ropensci,weathercan,Organization,51,744,34,92,405,16
1,34,ropensci/bikedata,ropensci,bikedata,Organization,19,662,15,88,222,0
1,35,ropensci/gtfsr,ropensci,gtfsr,Organization,35,209,27,36,148,0
1,36,r-hub/sysreqs,r-hub,sysreqs,Organization,30,32,3,20,57,3
1,37,ropensci-archive/travis,ropensci-archive,travis,Organization,51,783,42,104,457,71
1,38,ropensci/smapr,ropensci,smapr,Organization,19,296,33,36,69,0
1,39,ropensci/roadoi,ropensci,roadoi,Organization,16,184,12,21,49,0
1,40,reconhub/incidence,reconhub,incidence,Organization,29,674,51,80,379,33
1,41,HenrikBengtsson/dirdf,henrikbengtsson,dirdf,User,10,82,7,11,28,0
1,42,ropensci/CoordinateCleaner,ropensci,coordinatecleaner,Organization,49,834,10,52,122,0
1,43,diegovalle/mxmaps,diegovalle,mxmaps,User,3,218,0,12,9,0
1,44,ropensci/cleanEHR,ropensci,cleanehr,Organization,21,830,39,127,212,17
1,45,eddelbuettel/nanotime,eddelbuettel,nanotime,User,21,287,48,45,439,55
1,46,ropensci-archive/datapkg,ropensci-archive,datapkg,Organization,15,48,1,15,41,0
1,47,cloudyr/ghit,cloudyr,ghit,Organization,14,95,6,25,56,0
1,48,lpfgarcia/ECoL,lpfgarcia,ecol,User,8,411,2,57,39,0
1,49,ropensci/lingtypology,ropensci,lingtypology,Organization,21,514,22,47,125,14
1,50,ropensci/taxa,ropensci,taxa,Organization,23,636,22,187,559,3
1,51,ropensci/jsonvalidate,ropensci,jsonvalidate,Organization,31,154,25,23,116,26
1,52,ropensci/riem,ropensci,riem,Organization,15,89,10,25,124,14
1,53,ropensci-archive/geoparser,ropensci-archive,geoparser,Organization,9,86,5,10,23,0
1,54,teramonagi/fitbitr,teramonagi,fitbitr,User,26,86,30,22,56,0
1,55,ropensci/PostcodesioR,ropensci,postcodesior,Organization,14,260,4,11,31,0
1,56,jforbes14/eechidna,jforbes14,eechidna,User,22,608,13,25,76,0
1,57,ropensci/jsonld,ropensci,jsonld,Organization,11,45,4,14,32,0
1,58,ropensci/graphql,ropensci,graphql,Organization,10,40,5,5,36,0
1,59,ropensci/geojson,ropensci,geojson,Organization,11,172,6,35,70,2
1,60,stan-dev/rstantools,stan-dev,rstantools,Organization,72,333,31,60,361,18
1,61,PredictiveEcology/NetLogoR,predictiveecology,netlogor,Organization,8,866,3,41,112,2
1,62,ropensci-archive/gdoc,ropensci-archive,gdoc,Organization,6,83,0,12,23,0
1,63,ropensci/rredlist,ropensci,rredlist,Organization,15,138,6,42,121,9
1,64,rcppmlpack/rcppmlpack2,rcppmlpack,rcppmlpack2,Organization,9,193,12,10,80,17
1,65,AnthonyEbert/queuecomputer,anthonyebert,queuecomputer,User,10,239,17,19,25,0
1,66,ropensci/xslt,ropensci,xslt,Organization,7,70,2,7,24,0
1,67,ropensci/rrricanes,ropensci,rrricanes,Organization,13,1352,15,110,184,0
1,68,sckott/geoops,sckott,geoops,User,4,151,5,14,20,0
1,69,mschubert/narray,mschubert,narray,User,5,245,0,29,12,0
1,70,simongrund1/mitml,simongrund1,mitml,User,15,109,3,12,35,0
1,71,ropensci/taxizedb,ropensci,taxizedb,Organization,26,222,12,44,256,6
1,72,ropensci/phylotaR,ropensci,phylotar,Organization,25,424,2,54,70,0
1,73,jeroen/agent,jeroen,agent,User,3,10,1,2,3,0
1,74,hoxo-m/magicfor,hoxo-m,magicfor,User,3,31,0,6,0,0
1,75,AdamSpannbauer/lexRankr,adamspannbauer,lexrankr,User,6,152,8,13,36,0
1,76,ropensci-archive/crminer,ropensci-archive,crminer,Organization,15,177,7,44,136,2
1,77,csbl-usp/CEMiTool,csbl-usp,cemitool,User,59,721,0,85,242,0
1,78,graemeleehickey/joineRML,graemeleehickey,joinerml,User,11,415,8,68,48,0
1,79,jaredhuling/oem,jaredhuling,oem,User,14,319,2,22,36,0
1,80,bearloga/cablecuttr,bearloga,cablecuttr,User,4,18,2,3,3,0
1,81,uribo/jpndistrict,uribo,jpndistrict,User,13,296,9,28,40,5
1,82,ropensci/getCRUCLdata,ropensci,getcrucldata,Organization,5,661,3,5,9,0
1,83,ropensci/wikitaxa,ropensci,wikitaxa,Organization,3,116,2,17,11,0
1,84,ThinkR-open/thinkr,thinkr-open,thinkr,Organization,10,77,8,8,24,4
1,85,ropensci/phylocomr,ropensci,phylocomr,Organization,15,177,4,27,92,8
1,86,eddelbuettel/rcppmsgpack,eddelbuettel,rcppmsgpack,User,3,82,15,2,33,9
1,87,MaximeRivest/scimeetr,maximerivest,scimeetr,User,4,79,1,3,7,0
1,88,aertslab/RcisTarget,aertslab,rcistarget,Organization,34,194,1,23,35,0
1,89,fcampelo/MOEADr,fcampelo,moeadr,User,3,252,24,31,53,0
1,90,ropensci/rnaturalearthhires,ropensci,rnaturalearthhires,Organization,48,21,0,4,18,0
1,91,ropensci-archive/originr,ropensci-archive,originr,Organization,9,83,3,24,56,2
1,92,r-simmer/simmer.optim,r-simmer,simmer.optim,Organization,8,48,6,7,12,0
1,93,lockedata/HIBPwned,lockedata,hibpwned,Organization,11,95,13,23,75,8
1,94,cloudyr/awspack,cloudyr,awspack,Organization,2,36,0,7,6,0
1,95,ropensci/isdparser,ropensci,isdparser,Organization,8,83,2,14,54,0
1,96,sckott/apipkgen,sckott,apipkgen,User,7,43,4,15,31,0
1,97,ropensci/rdefra,ropensci,rdefra,Organization,10,205,1,11,33,0
1,98,ropensci/coder,ropensci,coder,Organization,6,308,2,149,142,0
1,99,ropensci/binman,ropensci,binman,Organization,8,131,5,3,7,0
2,0,ropensci/worrms,ropensci,worrms,Organization,11,127,4,21,50,0
2,1,ropensci/fauxpas,ropensci,fauxpas,Organization,2,77,0,13,6,0
2,2,ropensci-archive/nneo,ropensci-archive,nneo,Organization,7,42,4,11,61,14
2,3,hoxo-m/densratio,hoxo-m,densratio,User,7,60,6,4,9,0
2,4,ropensci/rcoreoa,ropensci,rcoreoa,Organization,9,125,6,18,90,13
2,5,ropensci/geojsonlint,ropensci,geojsonlint,Organization,12,83,2,18,30,1
2,6,reconhub/epicontacts,reconhub,epicontacts,Organization,14,543,49,74,305,5
2,7,achubaty/grainscape,achubaty,grainscape,User,11,490,1,64,191,1
2,8,giscience-fsu/sperrorest,giscience-fsu,sperrorest,Organization,10,963,33,32,40,0
2,9,cloudyr/aws.dynamodb,cloudyr,aws.dynamodb,Organization,8,10,0,3,6,0
2,10,ropensci/jaod,ropensci,jaod,Organization,10,77,2,10,23,3
2,11,ropensci/dbhydroR,ropensci,dbhydror,Organization,7,227,1,17,22,0
2,12,ropensci/natserv,ropensci,natserv,Organization,9,90,3,21,57,0
2,13,ropensci-archive/ccafs,ropensci-archive,ccafs,Organization,7,80,3,26,10,0
2,14,lockedata/mockaRoo,lockedata,mockaroo,Organization,4,14,1,1,3,0
2,15,ropensci/wicket,ropensci,wicket,Organization,5,56,2,25,141,0
2,16,r-simmer/simmer.plot,r-simmer,simmer.plot,Organization,8,146,2,21,24,0
2,17,scientific-computing-solutions/InformativeCensoring,scientific-computing-solutions,informativecensoring,Organization,5,50,3,3,7,0
2,18,scientific-computing-solutions/eventPrediction,scientific-computing-solutions,eventprediction,Organization,2,6,1,0,1,0
2,19,ropensci-archive/colorpiler,ropensci-archive,colorpiler,Organization,7,41,1,4,9,0
2,20,fsolt/icpsrdata,fsolt,icpsrdata,User,7,71,1,3,12,1
2,21,ropensci/beautier,ropensci,beautier,Organization,6,2624,0,130,163,0
2,22,ropensci-archive/rtimicropem,ropensci-archive,rtimicropem,Organization,8,213,3,29,38,0
2,23,ropensci/camsRad,ropensci,camsrad,Organization,6,84,1,6,11,0
2,24,fsolt/pewdata,fsolt,pewdata,User,4,96,1,5,5,0
2,25,miguel-porto/SiMRiv,miguel-porto,simriv,User,5,155,0,10,5,0
2,26,hollorol/RBBGCMuso,hollorol,rbbgcmuso,User,12,572,0,18,47,0
2,27,ksawicka/spup,ksawicka,spup,User,3,385,2,1,1,0
2,28,vertesy/RoxygenReady,vertesy,roxygenready,User,6,37,0,15,12,0
2,29,ropensci/rbace,ropensci,rbace,Organization,7,74,1,17,23,0
2,30,ropensci-archive/crevents,ropensci-archive,crevents,Organization,3,49,0,10,8,0
2,31,ropensci/rnaturalearthdata,ropensci,rnaturalearthdata,Organization,5,34,1,2,5,0
2,32,kunstler/laselva,kunstler,laselva,User,7,61,1,14,61,0
2,33,ropensci-archive/leafier,ropensci-archive,leafier,Organization,5,9,2,1,1,0
2,34,krisrs1128/treelapse,krisrs1128,treelapse,User,3,560,103,82,14,0
2,35,teramonagi/oandar,teramonagi,oandar,User,1,20,2,0,0,0
2,36,ConFooBio/gmse,confoobio,gmse,Organization,5,1941,11,66,131,4
2,37,ropensci-archive/scitations,ropensci-archive,scitations,Organization,1,19,0,2,0,0
2,38,bearloga/BCDA,bearloga,bcda,User,2,22,3,0,0,0
2,39,ferreira-santos/metaforGUI,ferreira-santos,metaforgui,User,3,30,0,7,5,0
2,40,leeper/responserates,leeper,responserates,User,1,11,0,4,0,0
2,41,sckott/ridb,sckott,ridb,User,2,7,1,1,5,0
2,42,ropensci-archive/snowball,ropensci-archive,snowball,Organization,8,125,0,2,4,0
2,43,thekvs/tarantoolr,thekvs,tarantoolr,User,1,45,0,0,0,0
2,44,ropensci-archive/sparqldsl,ropensci-archive,sparqldsl,Organization,1,16,0,0,0,0
2,45,ropensci-archive/riodata,ropensci-archive,riodata,Organization,4,10,0,1,1,0
2,46,cjyetman/memberstates,cjyetman,memberstates,User,4,18,0,4,10,0
2,47,walterxie/TraceR,walterxie,tracer,User,2,78,1,0,0,0
2,48,ropensci/refimpact,ropensci,refimpact,Organization,5,79,4,26,16,1
2,49,ropensci-archive/cmipr,ropensci-archive,cmipr,Organization,5,29,1,16,5,0
2,50,edonnachie/ICD10gm,edonnachie,icd10gm,User,4,152,0,19,14,0
2,51,Trinity-Automata-Research/dsmodels,trinity-automata-research,dsmodels,Organization,4,285,45,166,195,31
2,52,boettiger-lab/sarsop,boettiger-lab,sarsop,Organization,6,348,31,11,87,0
2,53,ropensci-archive/dissemr,ropensci-archive,dissemr,Organization,1,17,0,2,0,0
2,54,eddelbuettel/gaussfacts,eddelbuettel,gaussfacts,User,3,26,3,1,9,1
2,55,MHenderson/thomashardyr,mhenderson,thomashardyr,User,1,48,0,0,0,0
2,56,r-simmer/simmer.json,r-simmer,simmer.json,Organization,1,3,0,0,0,0
2,57,Bohdan-Khomtchouk/gtf,bohdan-khomtchouk,gtf,User,1,33,0,1,0,0
2,58,sckott/atomize,sckott,atomize,User,2,7,0,1,0,0
2,59,KWB-R/kwb.qmra,kwb-r,kwb.qmra,Organization,3,224,9,32,26,0
2,60,USCbiostats/aphylo,uscbiostats,aphylo,Organization,1,317,5,15,7,0
2,61,fsolt/ropercenter,fsolt,ropercenter,User,6,97,0,8,32,0
2,62,kafku/RLevelDB,kafku,rleveldb,User,1,30,0,1,0,0
2,63,CMAP-REPOS/cmap_freight_model,cmap-repos,cmap_freight_model,Organization,2,6,0,27,19,0
2,64,contefranz/msmtools,contefranz,msmtools,User,2,133,0,6,7,0
2,65,ropensci-archive/zissou,ropensci-archive,zissou,Organization,3,9,0,4,11,0
2,66,ropensci-archive/geojsonrewind,ropensci-archive,geojsonrewind,Organization,3,16,1,2,2,0
2,67,jjchern/saipeAPI,jjchern,saipeapi,User,1,41,0,0,0,0
2,68,leeper/crandatapkgs,leeper,crandatapkgs,User,4,48,2,61,9,0
2,69,ropensci/tabulizerjars,ropensci,tabulizerjars,Organization,5,23,2,4,3,0
2,70,maelle/geolocart,maelle,geolocart,User,5,4,0,10,32,0
