page,index,repo,owner,name,type,authors,commits,pulls,issues,comments,reviews
1,0,elementor/elementor,elementor,elementor,Organization,13837,24530,5123,11234,49796,6894
1,1,wp-graphql/wp-graphql,wp-graphql,wp-graphql,Organization,932,3742,1029,1037,6317,1127
1,2,airesvsg/acf-to-rest-api,airesvsg,acf-to-rest-api,User,770,51,18,372,1301,7
1,3,leonstafford/wp2static,leonstafford,wp2static,User,342,4258,179,553,1860,84
1,4,soberwp/intervention,soberwp,intervention,Organization,49,291,43,47,256,9
1,5,roots/wp-password-bcrypt,roots,wp-password-bcrypt,Organization,41,44,16,13,87,2
1,6,wp-media/wp-rocket,wp-media,wp-rocket,Organization,848,8045,1855,2523,11640,4219
1,7,lukecav/awesome-gravity-forms,lukecav,awesome-gravity-forms,User,15,309,13,5,13,1
1,8,MoePlayer/Hermit-X,moeplayer,hermit-x,Organization,70,338,69,93,355,74
1,9,yeswework/fabrica-dev-kit,yeswework,fabrica-dev-kit,Organization,29,595,5,37,125,0
1,10,WPTT/theme-sniffer,wptt,theme-sniffer,Organization,70,410,114,113,743,161
1,11,leoloso/PoP,leoloso,pop,User,8,8594,853,261,269,8
1,12,stayallive/wp-sentry,stayallive,wp-sentry,User,102,328,36,66,385,41
1,13,ahmedkaludi/accelerated-mobile-pages,ahmedkaludi,accelerated-mobile-pages,User,748,7454,284,4855,13458,48
1,14,BracketSpace/Notification,bracketspace,notification,Organization,121,1948,226,153,851,151
1,15,BeAPI/acf-options-for-polylang,beapi,acf-options-for-polylang,Organization,96,133,20,60,255,6
1,16,litespeedtech/lscache_wp,litespeedtech,lscache_wp,User,155,3268,260,147,542,74
1,17,wpengine/phpcompat,wpengine,phpcompat,Organization,203,646,110,187,373,89
1,18,kamalkhan/kk-star-ratings,kamalkhan,kk-star-ratings,User,117,470,19,91,153,1
1,19,anthonybudd/WP_Model,anthonybudd,wp_model,User,11,128,7,5,6,0
1,20,Lorti/dominant-colors-lazy-loading-wordpress-plugin,lorti,dominant-colors-lazy-loading-wordpress-plugin,User,12,101,15,13,66,2
1,21,bigfa/nm,bigfa,nm,User,23,54,1,21,21,0
1,22,duracelltomi/gtm4wp,duracelltomi,gtm4wp,User,133,530,48,149,557,2
1,23,dmhendricks/wordpress-base-plugin,dmhendricks,wordpress-base-plugin,User,6,271,0,8,26,0
1,24,inpsyde/menu-cache,inpsyde,menu-cache,Organization,9,33,6,6,33,10
1,25,rock-solid/wordpress-progressive-web-apps,rock-solid,wordpress-progressive-web-apps,Organization,8,201,9,11,3,0
1,26,betterangels/buoy,betterangels,buoy,Organization,21,459,79,147,213,20
1,27,MinnPost/object-sync-for-salesforce,minnpost,object-sync-for-salesforce,Organization,64,2304,155,272,1074,72
1,28,sgtpep/woocommerce-1c,sgtpep,woocommerce-1c,User,47,473,29,35,157,2
1,29,sybrew/The-SEO-Framework-Extension-Manager,sybrew,the-seo-framework-extension-manager,User,36,338,2,38,114,0
1,30,sformisano/jetrouter,sformisano,jetrouter,User,8,6,2,14,8,0
1,31,0aveRyan/patterns,0averyan,patterns,User,3,1,0,1,0,0
1,32,Yoast/yoast-acf-analysis,yoast,yoast-acf-analysis,Organization,156,622,167,130,679,68
1,33,stevegrunwell/schemify,stevegrunwell,schemify,User,6,174,4,11,16,3
1,34,swissspidy/preferred-languages,swissspidy,preferred-languages,User,30,607,343,59,598,7
1,35,WordPress/wordpress-importer,wordpress,wordpress-importer,Organization,96,94,61,50,212,63
1,36,godaddy/wp-reseller-store,godaddy,wp-reseller-store,Organization,36,485,88,32,187,94
1,37,thebrandonallen/wp-fail2ban-redux,thebrandonallen,wp-fail2ban-redux,User,18,176,8,17,34,0
1,38,AyeCode/userswp,ayecode,userswp,Organization,25,1178,301,305,359,1
1,39,nanodesigns/nanosupport,nanodesigns,nanosupport,Organization,42,487,12,96,315,0
1,40,Lewiscowles1986/WordPressSVGPlugin,lewiscowles1986,wordpresssvgplugin,User,8,54,19,26,72,11
1,41,straube/multiple-domain,straube,multiple-domain,User,48,199,23,59,174,10
1,42,petenelson/wp-rest-api-toolbox,petenelson,wp-rest-api-toolbox,User,5,157,25,19,7,0
1,43,JoryHogeveen/view-admin-as,joryhogeveen,view-admin-as,User,15,1656,32,89,78,1
1,44,wpshopify/wp-shopify,wpshopify,wp-shopify,Organization,23,204,2,120,114,0
1,45,fabacab/wp-pgp-encrypted-emails,fabacab,wp-pgp-encrypted-emails,User,29,97,10,34,269,16
1,46,factmaven/disable-blogging,factmaven,disable-blogging,Organization,13,161,11,10,52,9
1,47,WidgetOptions/widget-options,widgetoptions,widget-options,Organization,89,262,38,82,200,0
1,48,kontur/fontsampler-wordpress-plugin,kontur,fontsampler-wordpress-plugin,User,30,419,2,178,301,0
1,49,digitoimistodude/image-hashtag-feed,digitoimistodude,image-hashtag-feed,Organization,6,34,2,3,4,0
1,50,techies23/video-conference-zoom,techies23,video-conference-zoom,User,6,447,48,0,1,0
1,51,mecachisenros/cf-civicrm,mecachisenros,cf-civicrm,User,94,778,61,148,589,22
1,52,ArcFramework/framework,arcframework,framework,Organization,2,431,9,4,3,0
1,53,kaisermann/selene,kaisermann,selene,User,3,777,15,3,2,0
1,54,mlooft/multi-step-form,mlooft,multi-step-form,User,13,1042,11,6,9,0
1,55,xunhuweb/WeiXin-Payments-for-WooCommerce,xunhuweb,weixin-payments-for-woocommerce,User,2,18,0,1,1,0
1,56,alexmacarthur/wp-complete-open-graph,alexmacarthur,wp-complete-open-graph,User,4,52,15,24,8,0
1,57,RocketChat/WordPressPlugin,rocketchat,wordpressplugin,Organization,30,44,14,15,45,6
1,58,cloudinary/cloudinary_wordpress,cloudinary,cloudinary_wordpress,Organization,65,2342,527,29,1006,812
1,59,felixarntz/attachment-taxonomies,felixarntz,attachment-taxonomies,User,15,79,3,16,25,0
1,60,stevegrunwell/mcavoy,stevegrunwell,mcavoy,User,1,136,0,27,9,0
1,61,tillkruss/email-encoder,tillkruss,email-encoder,User,10,159,5,9,59,4
1,62,themarcusbattle/press-sync,themarcusbattle,press-sync,User,12,391,37,12,121,113
1,63,r-a-y/unlisted,r-a-y,unlisted,User,6,11,1,6,21,0
1,64,stevegrunwell/wp404,stevegrunwell,wp404,User,4,43,2,6,6,0
1,65,pyronaur/easy-photography-portfolio,pyronaur,easy-photography-portfolio,User,14,725,11,11,71,11
1,66,samjco/ACF-PHP-VARS,samjco,acf-php-vars,User,3,32,0,2,1,0
1,67,houke/color-palette-generator,houke,color-palette-generator,User,3,52,0,5,24,0
1,68,dcooney/instant-images,dcooney,instant-images,User,15,59,6,11,31,0
1,69,getdave/wp-intervention,getdave,wp-intervention,User,8,46,10,8,15,0
1,70,Joel-James/lazy-load-for-comments,joel-james,lazy-load-for-comments,User,13,72,12,14,22,0
1,71,hiwelo/raccoon-plugin,hiwelo,raccoon-plugin,User,7,151,19,20,18,1
1,72,AlexaCRM/integration-dynamics,alexacrm,integration-dynamics,Organization,27,524,4,25,92,5
1,73,satwinderrathore/CMB2-radio-image,satwinderrathore,cmb2-radio-image,User,5,6,1,4,2,0
1,74,iandunn/compassionate-comments,iandunn,compassionate-comments,User,1,54,0,0,0,0
1,75,Automattic/WPCOM-Legacy-Redirector,automattic,wpcom-legacy-redirector,Organization,39,259,73,36,495,185
1,76,godaddy-wordpress/contact-widgets,godaddy-wordpress,contact-widgets,Organization,39,347,67,32,184,51
1,77,MCNewsTools/MCServerStatus-WordPressWidget,mcnewstools,mcserverstatus-wordpresswidget,Organization,10,33,6,6,50,2
1,78,affilicious/affilicious,affilicious,affilicious,Organization,3,946,0,0,0,0
1,79,dfmedia/DFM-Transients,dfmedia,dfm-transients,Organization,4,97,21,35,9,6
